,EmployeeID,Department,Age,Gender,Education,ExperienceYears,RemoteWork,HoursPerWeek,PerformanceScore,Absences,ProjectsCompleted,Satisfaction
0,E0001,Support,36,Other,Bachelor,29,Yes,40,72,9,8,2
1,E0002,Finance,58,Other,Bachelor,17,Yes,36,91,6,7,9
2,E0003,HR,54,Female,Bachelor,1,No,34,69,0,5,2
3,E0004,Support,29,Other,High School,12,No,46,64,6,1,5
4,E0005,Marketing,26,Other,Master,3,Yes,49,99,2,9,4
5,E0006,HR,25,Female,Bachelor,25,No,38,94,8,7,7
6,E0007,HR,27,Other,Master,24,Yes,43,78,5,2,8
7,E0008,Support,53,Male,High School,29,Yes,41,57,8,6,5
8,E0009,IT,51,Male,Bachelor,10,Yes,35,90,4,2,5
9,E0010,Marketing,56,Female,Bachelor,6,Yes,46,97,6,1,2
10,E0011,Support,37,Female,Master,30,No,48,68,3,7,8
11,E0012,Marketing,34,Female,Bachelor,9,Yes,48,97,6,2,2
12,E0013,Marketing,51,Male,Bachelor,12,Yes,45,88,0,2,6
13,E0014,HR,40,Other,Master,30,No,41,95,6,5,8
14,E0015,Finance,38,Male,Bachelor,6,No,41,77,7,5,6
15,E0016,Marketing,40,Female,Bachelor,19,Yes,49,95,4,7,4
16,E0017,Operations,49,Other,High School,3,No,35,76,1,1,4
17,E0018,HR,47,Other,Master,6,Yes,33,53,4,8,6
18,E0019,IT,58,Male,High School,0,No,35,64,5,3,4
19,E0020,Finance,47,Female,Master,12,No,40,84,1,4,8
20,E0021,Operations,44,Male,Bachelor,21,No,30,86,5,9,9
21,E0022,Operations,30,Other,Master,20,Yes,44,50,5,4,1
22,E0023,IT,33,Male,Master,21,Yes,40,52,0,5,4
23,E0024,Finance,22,Male,PhD,27,Yes,48,96,0,7,4
24,E0025,HR,22,Female,Bachelor,8,Yes,47,73,9,4,2
25,E0026,Sales,55,Female,Master,25,Yes,46,76,2,1,6
26,E0027,Finance,53,Other,Bachelor,8,No,48,89,9,9,3
27,E0028,IT,46,Male,Bachelor,14,Yes,43,85,9,4,7
28,E0029,Operations,22,Male,Bachelor,9,Yes,47,83,2,9,5
29,E0030,HR,37,Male,Master,23,No,48,78,3,6,4
30,E0031,Finance,26,Other,PhD,7,Yes,44,73,1,1,5
31,E0032,Sales,43,Other,Master,23,No,44,73,8,3,8
32,E0033,Sales,50,Female,Bachelor,15,Yes,33,91,9,2,3
33,E0034,Marketing,24,Female,Bachelor,25,Yes,36,53,6,9,7
34,E0035,Marketing,33,Female,Master,26,Yes,42,52,6,1,6
35,E0036,Support,47,Male,Bachelor,3,Yes,32,83,5,9,1
36,E0037,IT,37,Male,Bachelor,23,No,45,98,2,9,7
37,E0038,Finance,58,Female,Bachelor,18,Yes,38,72,5,8,7
38,E0039,Finance,43,Male,Bachelor,9,Yes,37,72,7,8,1
39,E0040,Support,50,Female,Bachelor,24,Yes,49,94,7,1,9
40,E0041,Operations,35,Other,Bachelor,17,Yes,42,54,8,8,6
41,E0042,Operations,49,Female,High School,18,No,46,80,0,3,2
42,E0043,Support,26,Other,High School,9,Yes,46,90,0,7,5
43,E0044,Operations,51,Male,PhD,32,No,46,55,2,1,4
44,E0045,Marketing,26,Female,Bachelor,4,No,30,86,2,1,7
45,E0046,Finance,33,Male,Bachelor,34,Yes,37,59,9,5,8
46,E0047,Support,37,Other,Master,33,No,48,89,7,5,1
47,E0048,Finance,47,Other,Bachelor,32,Yes,35,56,9,8,5
48,E0049,Sales,47,Other,Master,20,Yes,32,88,0,7,3
49,E0050,Marketing,42,Male,Master,16,Yes,34,87,1,8,1
50,E0051,HR,57,Male,High School,21,No,42,70,1,6,3
51,E0052,Marketing,54,Male,Bachelor,14,No,44,69,2,6,6
52,E0053,Support,51,Male,Master,34,Yes,43,52,5,2,7
53,E0054,HR,58,Other,Master,27,No,45,71,0,6,8
54,E0055,Sales,44,Other,Bachelor,6,Yes,47,96,1,5,4
55,E0056,Support,31,Female,Bachelor,31,Yes,40,53,0,3,3
56,E0057,IT,26,Female,Bachelor,10,Yes,32,77,4,6,5
57,E0058,Finance,57,Male,PhD,9,No,39,61,6,8,9
58,E0059,Sales,55,Other,Bachelor,8,No,39,87,7,9,6
59,E0060,Finance,52,Other,Master,13,Yes,45,85,9,1,9
60,E0061,Operations,31,Other,Bachelor,12,Yes,41,96,0,3,6
61,E0062,IT,40,Female,Bachelor,24,Yes,31,90,6,3,2
62,E0063,IT,53,Female,Bachelor,1,Yes,38,54,4,8,5
63,E0064,Sales,22,Other,Bachelor,34,Yes,32,62,9,1,9
64,E0065,IT,26,Other,Bachelor,6,No,44,72,0,5,8
65,E0066,HR,25,Other,Bachelor,20,Yes,32,99,2,3,7
66,E0067,IT,37,Female,Bachelor,17,Yes,48,79,6,2,1
67,E0068,Finance,45,Other,Master,2,Yes,47,86,9,8,4
68,E0069,Finance,37,Other,Bachelor,10,No,37,74,0,3,7
69,E0070,Support,23,Male,High School,23,No,46,97,6,7,7
70,E0071,Finance,49,Male,PhD,18,Yes,37,76,4,1,6
71,E0072,Support,53,Female,Master,3,No,36,63,0,6,8
72,E0073,Finance,48,Other,Master,25,Yes,36,97,0,3,6
73,E0074,HR,41,Other,PhD,31,Yes,32,96,0,8,3
74,E0075,Support,45,Male,Bachelor,32,Yes,30,85,8,6,4
75,E0076,Marketing,33,Female,Bachelor,2,Yes,33,88,2,2,3
76,E0077,Operations,56,Male,Master,8,Yes,34,65,4,6,1
77,E0078,Sales,54,Male,Master,7,No,30,71,9,7,5
78,E0079,Finance,54,Male,Bachelor,32,No,44,70,8,5,1
79,E0080,IT,58,Male,Master,5,No,34,70,5,3,1
80,E0081,Finance,33,Other,Bachelor,3,Yes,42,57,8,4,2
81,E0082,IT,24,Other,Bachelor,12,Yes,37,98,7,4,4
82,E0083,Operations,22,Male,Bachelor,1,No,37,65,7,6,6
83,E0084,Operations,54,Female,Bachelor,4,Yes,34,80,0,1,8
84,E0085,Operations,31,Female,Bachelor,26,Yes,38,91,8,4,3
85,E0086,IT,50,Female,High School,31,Yes,30,59,5,4,1
86,E0087,Finance,34,Female,Master,20,No,33,81,8,1,3
87,E0088,Operations,33,Male,Bachelor,7,Yes,32,83,2,9,3
88,E0089,HR,52,Other,Bachelor,7,Yes,31,58,2,4,5
89,E0090,Support,23,Female,Master,2,No,37,66,5,7,4
90,E0091,IT,56,Male,PhD,2,Yes,38,60,8,3,4
91,E0092,IT,44,Female,Master,21,Yes,31,81,6,3,9
92,E0093,Finance,38,Female,Master,5,Yes,43,59,2,8,7
93,E0094,IT,47,Male,Master,1,Yes,43,71,2,8,4
94,E0095,IT,29,Other,Bachelor,22,No,33,66,1,1,3
95,E0096,Operations,50,Other,High School,1,Yes,35,53,8,2,6
96,E0097,Finance,47,Male,Bachelor,16,Yes,40,97,2,8,3
97,E0098,Operations,31,Other,Bachelor,34,No,32,96,4,1,6
98,E0099,Support,47,Male,Bachelor,33,No,37,74,8,8,9
99,E0100,Support,55,Male,Master,22,No,32,70,7,8,6
100,E0101,Operations,28,Male,Bachelor,29,Yes,43,86,1,2,4
101,E0102,Support,25,Other,High School,7,Yes,42,87,2,4,5
102,E0103,Finance,32,Male,Bachelor,21,No,42,98,1,6,6
103,E0104,Sales,50,Female,Master,4,No,31,50,7,9,3
104,E0105,Operations,57,Other,High School,12,Yes,42,74,5,8,8
105,E0106,HR,46,Other,Master,28,Yes,48,85,5,8,4
106,E0107,HR,42,Other,Bachelor,30,Yes,35,66,8,7,8
107,E0108,IT,57,Other,Bachelor,15,No,45,90,7,9,3
108,E0109,Support,31,Female,Bachelor,29,Yes,31,73,3,2,7
109,E0110,HR,58,Other,Master,15,Yes,37,51,3,3,9
110,E0111,IT,30,Other,Bachelor,11,Yes,46,89,8,8,4
111,E0112,Sales,45,Male,Master,16,No,31,64,0,6,8
112,E0113,Finance,56,Other,Bachelor,15,No,39,81,1,9,3
113,E0114,Finance,56,Female,Bachelor,11,Yes,45,88,1,4,7
114,E0115,Finance,57,Female,Master,7,No,35,55,5,8,3
115,E0116,HR,39,Female,Master,19,No,31,50,3,3,7
116,E0117,Sales,53,Female,Master,2,Yes,31,96,9,3,6
117,E0118,HR,45,Other,Master,15,Yes,42,72,2,8,2
118,E0119,Support,44,Other,Master,29,Yes,44,88,2,5,3
119,E0120,HR,53,Female,Master,22,No,31,66,2,3,6
120,E0121,Sales,58,Female,Master,27,Yes,36,83,5,1,4
121,E0122,Sales,33,Other,Master,4,No,32,90,7,3,6
122,E0123,Support,34,Female,Master,19,No,37,78,6,9,1
123,E0124,Sales,44,Male,Bachelor,0,Yes,43,58,3,5,1
124,E0125,Sales,46,Female,Master,29,No,36,62,3,2,3
125,E0126,Finance,56,Female,Bachelor,20,Yes,36,55,9,7,8
126,E0127,Support,51,Male,Master,19,Yes,30,55,1,2,8
127,E0128,Marketing,38,Male,Master,5,No,46,69,0,4,4
128,E0129,Marketing,41,Other,High School,21,No,38,52,8,7,6
129,E0130,Sales,46,Other,Master,17,Yes,42,66,1,4,8
130,E0131,Marketing,43,Male,Bachelor,7,No,48,98,7,7,7
131,E0132,Marketing,34,Male,Bachelor,31,No,48,61,8,7,7
132,E0133,Sales,40,Other,Master,32,Yes,46,97,3,1,4
133,E0134,Marketing,57,Female,Bachelor,15,No,39,96,7,6,9
134,E0135,HR,33,Male,Master,11,Yes,39,94,8,9,6
135,E0136,IT,40,Other,Master,33,Yes,33,50,9,2,3
136,E0137,Support,33,Female,Bachelor,13,Yes,37,66,9,3,5
137,E0138,IT,30,Male,High School,32,No,49,52,4,5,5
138,E0139,Sales,28,Female,Bachelor,22,No,49,75,6,9,5
139,E0140,Finance,49,Other,Bachelor,1,Yes,47,64,9,4,8
140,E0141,Support,35,Male,PhD,20,Yes,43,85,3,1,9
141,E0142,Sales,52,Female,Bachelor,1,No,47,81,0,4,9
142,E0143,Finance,40,Male,Bachelor,26,Yes,43,81,2,6,6
143,E0144,IT,37,Female,Bachelor,8,No,49,53,4,5,6
144,E0145,Sales,26,Other,Bachelor,0,No,44,67,2,1,9
145,E0146,Support,56,Other,Master,10,Yes,33,98,6,4,4
146,E0147,Support,33,Male,Bachelor,2,No,42,68,8,6,6
147,E0148,Operations,46,Female,Master,22,Yes,37,92,5,4,4
148,E0149,HR,42,Male,Bachelor,25,No,47,84,9,9,1
149,E0150,Marketing,57,Male,PhD,3,No,41,89,0,5,7
150,E0151,Finance,44,Female,Bachelor,17,No,43,63,6,8,6
151,E0152,Operations,37,Female,Bachelor,5,Yes,31,82,2,9,9
152,E0153,Marketing,35,Female,Master,34,No,47,63,4,5,7
153,E0154,Marketing,52,Other,Bachelor,21,Yes,31,83,9,6,7
154,E0155,Sales,26,Male,Master,14,Yes,40,53,3,1,2
155,E0156,Marketing,56,Male,Master,21,Yes,38,73,9,7,9
156,E0157,HR,44,Other,High School,11,Yes,41,78,4,4,9
157,E0158,Support,50,Female,Bachelor,17,Yes,46,68,4,2,6
158,E0159,Operations,32,Other,Master,34,No,44,55,5,5,3
159,E0160,Marketing,39,Other,High School,29,No,46,82,9,3,1
160,E0161,Sales,33,Other,Bachelor,23,Yes,47,98,9,6,4
161,E0162,HR,30,Male,Bachelor,29,No,35,89,5,8,3
162,E0163,IT,31,Other,Bachelor,13,Yes,46,68,7,7,1
163,E0164,Support,38,Male,High School,5,No,47,50,7,3,3
164,E0165,Support,59,Male,Master,2,No,37,54,8,8,4
165,E0166,Operations,28,Male,PhD,15,Yes,38,76,7,2,8
166,E0167,Support,34,Female,PhD,6,No,35,65,1,9,9
167,E0168,Marketing,30,Male,Master,13,Yes,34,55,9,4,3
168,E0169,Sales,48,Male,Bachelor,8,Yes,41,89,0,1,6
169,E0170,Support,23,Female,Master,14,No,40,62,9,8,5
170,E0171,Support,26,Male,High School,20,Yes,30,97,1,7,6
171,E0172,IT,50,Other,High School,34,Yes,40,84,1,5,4
172,E0173,IT,58,Other,Bachelor,1,Yes,48,68,2,5,6
173,E0174,Finance,59,Male,Bachelor,26,No,38,61,9,7,7
174,E0175,HR,40,Female,Master,1,Yes,31,65,6,5,9
175,E0176,Marketing,29,Other,Master,34,Yes,41,92,1,8,7
176,E0177,Support,22,Female,Bachelor,17,No,33,59,0,6,6
177,E0178,Support,43,Female,Bachelor,13,No,33,74,5,5,1
178,E0179,Sales,38,Other,PhD,19,Yes,47,69,8,9,2
179,E0180,Finance,28,Female,Bachelor,17,Yes,44,80,2,2,1
180,E0181,HR,46,Other,Bachelor,9,Yes,48,53,5,1,9
