,Unnamed: 0,EmployeeID,Department,Age,Gender,Education,ExperienceYears,RemoteWork,HoursPerWeek,PerformanceScore,Absences,ProjectsCompleted,Satisfaction
0,0,E0001,Support,36,Other,Bachelor,29,1,40,72,9,8,2
1,1,E0002,Finance,58,Other,Bachelor,17,1,36,91,6,7,9
2,2,E0003,HR,54,Female,Bachelor,1,0,34,69,0,5,2
3,3,E0004,Support,29,Other,High School,12,0,46,64,6,1,5
4,4,E0005,Marketing,26,Other,Master,3,1,49,99,2,9,4
5,5,E0006,HR,25,Female,Bachelor,25,0,38,94,8,7,7
6,6,E0007,HR,27,Other,Master,24,1,43,78,5,2,8
7,7,E0008,Support,53,Male,High School,29,1,41,57,8,6,5
8,8,E0009,IT,51,Male,Bachelor,10,1,35,90,4,2,5
9,9,E0010,Marketing,56,Female,Bachelor,6,1,46,97,6,1,2
10,10,E0011,Support,37,Female,Master,30,0,48,68,3,7,8
11,11,E0012,Marketing,34,Female,Bachelor,9,1,48,97,6,2,2
12,12,E0013,Marketing,51,Male,Bachelor,12,1,45,88,0,2,6
13,13,E0014,HR,40,Other,Master,30,0,41,95,6,5,8
14,14,E0015,Finance,38,Male,Bachelor,6,0,41,77,7,5,6
15,15,E0016,Marketing,40,Female,Bachelor,19,1,49,95,4,7,4
16,16,E0017,Operations,49,Other,High School,3,0,35,76,1,1,4
17,17,E0018,HR,47,Other,Master,6,1,33,53,4,8,6
18,18,E0019,IT,58,Male,High School,0,0,35,64,5,3,4
19,19,E0020,Finance,47,Female,Master,12,0,40,84,1,4,8
20,20,E0021,Operations,44,Male,Bachelor,21,0,30,86,5,9,9
21,21,E0022,Operations,30,Other,Master,20,1,44,50,5,4,1
22,22,E0023,IT,33,Male,Master,21,1,40,52,0,5,4
23,23,E0024,Finance,22,Male,PhD,27,1,48,96,0,7,4
24,24,E0025,HR,22,Female,Bachelor,8,1,47,73,9,4,2
25,25,E0026,Sales,55,Female,Master,25,1,46,76,2,1,6
26,26,E0027,Finance,53,Other,Bachelor,8,0,48,89,9,9,3
27,27,E0028,IT,46,Male,Bachelor,14,1,43,85,9,4,7
28,28,E0029,Operations,22,Male,Bachelor,9,1,47,83,2,9,5
29,29,E0030,HR,37,Male,Master,23,0,48,78,3,6,4
30,30,E0031,Finance,26,Other,PhD,7,1,44,73,1,1,5
31,31,E0032,Sales,43,Other,Master,23,0,44,73,8,3,8
32,32,E0033,Sales,50,Female,Bachelor,15,1,33,91,9,2,3
33,33,E0034,Marketing,24,Female,Bachelor,25,1,36,53,6,9,7
34,34,E0035,Marketing,33,Female,Master,26,1,42,52,6,1,6
35,35,E0036,Support,47,Male,Bachelor,3,1,32,83,5,9,1
36,36,E0037,IT,37,Male,Bachelor,23,0,45,98,2,9,7
37,37,E0038,Finance,58,Female,Bachelor,18,1,38,72,5,8,7
38,38,E0039,Finance,43,Male,Bachelor,9,1,37,72,7,8,1
39,39,E0040,Support,50,Female,Bachelor,24,1,49,94,7,1,9
40,40,E0041,Operations,35,Other,Bachelor,17,1,42,54,8,8,6
41,41,E0042,Operations,49,Female,High School,18,0,46,80,0,3,2
42,42,E0043,Support,26,Other,High School,9,1,46,90,0,7,5
43,43,E0044,Operations,51,Male,PhD,32,0,46,55,2,1,4
